RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,SourceFile,Keywords,ExtraDataOffset,Payload
856,856,2025-07-30 02:07:36.4267328,55,Info,Microsoft-Windows-Kernel-Processor-Power,System,4,204,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Group"",""#text"":""0""},{""@Name"":""Number"",""#text"":""1""},{""@Name"":""IdleStateCount"",""#text"":""1""},{""@Name"":""IdleImplementation"",""#text"":""1""},{""@Name"":""NominalFrequency"",""#text"":""2304""},{""@Name"":""MaximumPerformancePercent"",""#text"":""100""},{""@Name"":""MinimumPerformancePercent"",""#text"":""100""},{""@Name"":""MinimumThrottlePercent"",""#text"":""100""},{""@Name"":""PerformanceImplementation"",""#text"":""0""}]}}"
857,857,2025-07-30 02:07:36.4280494,55,Info,Microsoft-Windows-Kernel-Processor-Power,System,4,204,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Group"",""#text"":""0""},{""@Name"":""Number"",""#text"":""2""},{""@Name"":""IdleStateCount"",""#text"":""1""},{""@Name"":""IdleImplementation"",""#text"":""1""},{""@Name"":""NominalFrequency"",""#text"":""2304""},{""@Name"":""MaximumPerformancePercent"",""#text"":""100""},{""@Name"":""MinimumPerformancePercent"",""#text"":""100""},{""@Name"":""MinimumThrottlePercent"",""#text"":""100""},{""@Name"":""PerformanceImplementation"",""#text"":""0""}]}}"
858,858,2025-07-30 02:07:36.4296716,55,Info,Microsoft-Windows-Kernel-Processor-Power,System,4,204,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""Group"",""#text"":""0""},{""@Name"":""Number"",""#text"":""3""},{""@Name"":""IdleStateCount"",""#text"":""1""},{""@Name"":""IdleImplementation"",""#text"":""1""},{""@Name"":""NominalFrequency"",""#text"":""2304""},{""@Name"":""MaximumPerformancePercent"",""#text"":""100""},{""@Name"":""MinimumPerformancePercent"",""#text"":""100""},{""@Name"":""MinimumThrottlePercent"",""#text"":""100""},{""@Name"":""PerformanceImplementation"",""#text"":""0""}]}}"
859,859,2025-07-30 02:07:36.5093622,521,Info,Microsoft-Windows-Kernel-Power,System,4,372,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,0x8000000000000404,0,"{""EventData"":{""Data"":[{""@Name"":""ValidBatteryCount"",""#text"":""1""},{""@Name"":""ErrorBatteryCount"",""#text"":""0""},{""@Name"":""AbandonedBatteryCount"",""#text"":""0""}]}}"
860,860,2025-07-30 02:07:43.6209473,98,Info,Microsoft-Windows-Ntfs,System,4,328,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,0x8000000000000002,0,"{""EventData"":{""Data"":[{""@Name"":""DriveName"",""#text"":""\\\\?\\Volume{b4afc308-0000-0000-0000-c05d0c000000}""},{""@Name"":""DeviceName"",""#text"":""\\Device\\HarddiskVolume3""},{""@Name"":""CorruptionActionState"",""#text"":""0""}]}}"
861,861,2025-07-30 02:07:44.4691203,24,Info,Microsoft-Windows-Kernel-General,System,108,464,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Time,0,"{""EventData"":{""Data"":[{""@Name"":""ExitReason"",""#text"":""0""},{""@Name"":""CurrentBias"",""#text"":""420""},{""@Name"":""CurrentTimeZoneID"",""#text"":""2""},{""@Name"":""TimeZoneInfoCacheUpdated"",""#text"":""0""},{""@Name"":""FirstRefresh"",""#text"":""0""}]}}"
862,862,2025-07-30 02:07:45.4171516,14,Info,Microsoft-Windows-Wininit,System,560,564,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,0x4000000000000000,0,"{""EventData"":{""Data"":[{""@Name"":""Config"",""#text"":""0""},{""@Name"":""IsTestConfig"",""#text"":""0""}]}}"
863,863,2025-07-30 02:07:45.8466840,16962,Info,Microsoft-Windows-Directory-Services-SAM,System,724,728,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""@Name"":""SAMMSG_RESTRICT_REMOTE_SAM_DEFAULT_SD"",""Data"":{""@Name"":""Default SD String:"",""#text"":""O:SYG:SYD:(A;;RC;;;BA)""}}}"
864,864,2025-07-30 02:07:45.8752187,16977,Info,Microsoft-Windows-Directory-Services-SAM,System,724,728,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""@Name"":""SAMMSG_MINPWDLEN_SETTINGS_IN_EFFECT"",""Data"":[{""@Name"":""MinimumPasswordLength"",""#text"":""0""},{""@Name"":""RelaxMinimumPasswordLengthLimits"",""#text"":""0""},{""@Name"":""MinimumPasswordLengthAudit"",""#text"":""-1""}]}}"
865,865,2025-07-30 02:07:45.8752294,16983,Info,Microsoft-Windows-Directory-Services-SAM,System,724,728,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""@Name"":""SAMMSG_AUDIT_LEGACY_PWD_RPC_METHODS_OFF""}}"
866,866,2025-07-30 02:07:46.8474769,6,Info,Microsoft-Windows-FilterManager,System,4,204,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""FinalStatus"",""#text"":""0x0""},{""@Name"":""DeviceVersionMajor"",""#text"":""10""},{""@Name"":""DeviceVersionMinor"",""#text"":""0""},{""@Name"":""DeviceNameLength"",""#text"":""5""},{""@Name"":""DeviceName"",""#text"":""wcifs""},{""@Name"":""DeviceTime"",""#text"":""2043-11-04 04:04:53.0000000""}]}}"
867,867,2025-07-30 02:07:46.8839872,6,Info,Microsoft-Windows-FilterManager,System,4,304,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""FinalStatus"",""#text"":""0x0""},{""@Name"":""DeviceVersionMajor"",""#text"":""10""},{""@Name"":""DeviceVersionMinor"",""#text"":""0""},{""@Name"":""DeviceNameLength"",""#text"":""5""},{""@Name"":""DeviceName"",""#text"":""luafv""},{""@Name"":""DeviceTime"",""#text"":""1996-01-27 05:16:28.0000000""}]}}"
868,868,2025-07-30 02:07:46.9127750,50036,Info,Microsoft-Windows-Dhcp-Client,System,1048,1300,DESKTOP-5A3QN5S,6,S-1-5-19,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,0x2000000000000000,0,"{""EventData"":""""}"
869,869,2025-07-30 02:07:46.9129532,50103,Info,Microsoft-Windows-Dhcp-Client,System,1048,1300,DESKTOP-5A3QN5S,6,S-1-5-19,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,0x2000000000000000,0,"{""EventData"":""""}"
870,870,2025-07-30 02:07:46.9351569,6,Info,Microsoft-Windows-FilterManager,System,4,304,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""FinalStatus"",""#text"":""0x0""},{""@Name"":""DeviceVersionMajor"",""#text"":""10""},{""@Name"":""DeviceVersionMinor"",""#text"":""0""},{""@Name"":""DeviceNameLength"",""#text"":""6""},{""@Name"":""DeviceName"",""#text"":""CldFlt""},{""@Name"":""DeviceTime"",""#text"":""2063-06-09 03:33:16.0000000""}]}}"
871,871,2025-07-30 02:07:46.9351662,1,Info,Microsoft-Windows-FilterManager,System,4,304,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""FinalStatus"",""#text"":""0x0""},{""@Name"":""DeviceVersionMajor"",""#text"":""10""},{""@Name"":""DeviceVersionMinor"",""#text"":""0""},{""@Name"":""DeviceNameLength"",""#text"":""6""},{""@Name"":""DeviceName"",""#text"":""CldFlt""},{""@Name"":""DeviceTime"",""#text"":""2063-06-09 03:33:16.0000000""}]}}"
872,872,2025-07-30 02:07:46.9352634,6,Info,Microsoft-Windows-FilterManager,System,4,304,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""FinalStatus"",""#text"":""0x0""},{""@Name"":""DeviceVersionMajor"",""#text"":""10""},{""@Name"":""DeviceVersionMinor"",""#text"":""0""},{""@Name"":""DeviceNameLength"",""#text"":""6""},{""@Name"":""DeviceName"",""#text"":""CldFlt""},{""@Name"":""DeviceTime"",""#text"":""2063-06-09 03:33:16.0000000""}]}}"
873,873,2025-07-30 02:07:46.9525163,6,Info,Microsoft-Windows-FilterManager,System,4,328,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""FinalStatus"",""#text"":""0x0""},{""@Name"":""DeviceVersionMajor"",""#text"":""10""},{""@Name"":""DeviceVersionMinor"",""#text"":""0""},{""@Name"":""DeviceNameLength"",""#text"":""10""},{""@Name"":""DeviceName"",""#text"":""storqosflt""},{""@Name"":""DeviceTime"",""#text"":""2038-12-03 02:18:20.0000000""}]}}"
874,874,2025-07-30 02:07:46.9547189,51046,Info,Microsoft-Windows-DHCPv6-Client,System,1048,1360,DESKTOP-5A3QN5S,6,S-1-5-19,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,0x2000000000000000,0,"{""EventData"":""""}"
875,875,2025-07-30 02:07:46.9702588,6,Info,Microsoft-Windows-FilterManager,System,4,328,DESKTOP-5A3QN5S,6,S-1-5-18,,,,,,,,,,,False,C:\Users\VM\Desktop\System.evtx,Classic,0,"{""EventData"":{""Data"":[{""@Name"":""FinalStatus"",""#text"":""0x0""},{""@Name"":""DeviceVersionMajor"",""#text"":""10""},{""@Name"":""DeviceVersionMinor"",""#text"":""0""},{""@Name"":""DeviceNameLength"",""#text"":""7""},{""@Name"":""DeviceName"",""#text"":""bindflt""},{""@Name"":""DeviceTime"",""#text"":""2091-04-15 16:55:03.0000000""}]}}"
